x,eta,u,v,pressure
2.67435,-0.02038,2.65595,-0.05569,0.0002417
2.68665,-0.01783,2.64375,-0.06003,0.0002603
2.69894,-0.01683,2.63624,-0.05994,0.0002695
2.71124,-0.01378,2.62167,-0.06112,0.0002930
2.72353,-0.01274,2.61647,-0.06038,0.0003054
2.73583,-0.01059,2.60306,-0.06139,0.0003284
2.74813,-0.00731,2.59845,-0.06073,0.0003479
2.76042,-0.00571,2.58244,-0.05743,0.0003588
2.77272,-0.00409,2.57902,-0.05729,0.0003767
2.78501,-0.00011,2.56850,-0.05615,0.0003875
2.79731,0.00155,2.56494,-0.05681,0.0004053
2.80960,0.00441,2.54212,-0.04705,0.0004193
2.82190,0.00686,2.54015,-0.04814,0.0004325
2.83420,0.00813,2.53460,-0.04151,0.0004411
2.84649,0.01191,2.53279,-0.04241,0.0004615
2.85879,0.01319,2.52211,-0.02225,0.0004741
2.87108,0.01575,2.52209,-0.02411,0.0004890
2.88338,0.01899,2.52194,-0.01423,0.0004814
2.89568,0.02081,2.52158,-0.01569,0.0004802
2.90797,0.02336,2.51998,0.01356,0.0004746
2.92027,0.02726,2.52162,0.01119,0.0004743
2.93256,0.02849,2.53210,0.02525,0.0004731
2.94486,0.03217,2.53273,0.02516,0.0004723
2.95715,0.03455,2.53410,0.05389,0.0004710
