x,eta,u,v,pressure
-0.87915,-0.04359,2.47460,-0.07519,-0.0007577
-0.86686,-0.04427,2.46941,-0.09332,-0.0007396
-0.85456,-0.04479,2.46838,-0.09301,-0.0007213
-0.84227,-0.04565,2.45497,-0.11811,-0.0006999
-0.82997,-0.04598,2.45585,-0.11972,-0.0006787
-0.81767,-0.04602,2.45096,-0.13580,-0.0006563
-0.80538,-0.04627,2.45116,-0.13597,-0.0006328
-0.79308,-0.04643,2.43174,-0.15649,-0.0006090
-0.78079,-0.04651,2.43262,-0.15642,-0.0005837
-0.76849,-0.04642,2.41945,-0.17178,-0.0005582
-0.75620,-0.04626,2.41471,-0.17304,-0.0005306
-0.74390,-0.04601,2.39280,-0.18885,-0.0005033
-0.73160,-0.04595,2.38765,-0.19032,-0.0004740
-0.71931,-0.04564,2.37378,-0.19879,-0.0004462
-0.70701,-0.04478,2.36677,-0.19950,-0.0004154
-0.69472,-0.04428,2.36058,-0.20217,-0.0003885
-0.68242,-0.04392,2.35659,-0.20138,-0.0003560
-0.67012,-0.04300,2.35754,-0.20335,-0.0003292
-0.65783,-0.04242,2.35571,-0.20171,-0.0002922
-0.64553,-0.04151,2.34993,-0.19543,-0.0002584
-0.63324,-0.04026,2.34939,-0.19380,-0.0002264
-0.62094,-0.03974,2.35073,-0.18915,-0.0002050
-0.60865,-0.03808,2.35069,-0.18770,-0.0001615
-0.59635,-0.03687,2.34930,-0.17892,-0.0001296
-0.58405,-0.03624,2.34922,-0.17792,-0.0000968
-0.57176,-0.03422,2.35219,-0.17321,-0.0000670
-0.55946,-0.03351,2.35231,-0.17243,-0.0000337
-0.54717,-0.03204,2.34015,-0.16174,-0.0000034
-0.53487,-0.03034,2.34012,-0.16154,0.0000201
-0.52257,-0.02910,2.34200,-0.15614,0.0000473
-0.51028,-0.02589,2.34263,-0.15586,0.0000710
-0.49798,-0.02433,2.33392,-0.14034,0.0000940
-0.48569,-0.02264,2.33421,-0.14037,0.0001158
-0.47339,-0.02057,2.33722,-0.14019,0.0001405
-0.46109,-0.01858,2.33803,-0.14048,0.0001639
-0.44880,-0.01754,2.32623,-0.12337,0.0001872
-0.43650,-0.01433,2.32722,-0.12381,0.0002015
-0.42421,-0.01323,2.33087,-0.12176,0.0002313
-0.41191,-0.00982,2.33231,-0.12295,0.0002543
-0.39962,-0.00749,2.32687,-0.10669,0.0002749
-0.38732,-0.00644,2.32807,-0.10753,0.0002903
-0.37502,-0.00238,2.33015,-0.10903,0.0003023
-0.36273,-0.00011,2.33084,-0.10994,0.0003202
-0.35043,0.00120,2.33146,-0.08878,0.0003325
-0.33814,0.00496,2.33248,-0.08937,0.0003518
-0.32584,0.00758,2.34073,-0.08873,0.0003666
-0.31354,0.00890,2.34137,-0.08879,0.0003841
-0.30125,0.01287,2.34979,-0.06999,0.0003978
-0.28895,0.01420,2.35053,-0.06970,0.0004190
-0.27666,0.01775,2.35716,-0.06701,0.0004275
-0.26436,0.01984,2.35770,-0.06626,0.0004213
-0.25207,0.02198,2.36804,-0.04233,0.0004141
-0.23977,0.02620,2.36864,-0.04217,0.0004145
-0.22747,0.02755,2.37814,-0.03321,0.0004138
-0.21518,0.03007,2.37884,-0.03204,0.0004136
-0.20288,0.03385,2.40019,-0.00872,0.0004126
-0.19059,0.03508,2.40034,-0.00840,0.0004080
-0.17829,0.03871,2.41106,0.00149,0.0004100
-0.16599,0.04102,2.41178,0.00225,0.0004058
-0.15370,0.04236,2.42931,0.02422,0.0003922
-0.14140,0.04547,2.42962,0.02450,0.0003766
-0.12911,0.04678,2.44149,0.03797,0.0003679
